00,Edna,Gray,EDN-RKT-1,standard,true,14.679128,4.9080553,1.0663201,3.3512497
01,Nyla,Jones,EDN-RKT-1,standard,false,17.748644,5.1131854,0.6181036,5.120955
02,Irene,Gray,EDN-BLN-0,standard,false,22.220861,3.994195,5.295456,5.4750443
03,Amanpreet,Scott,EDN-BLN-0,standard,true,9.075539,5.2797585,4.47474,2.0179243
04,Nyla,Parris,EDN-BLN-0,standard,false,24.490496,2.684796,5.4487314,3.5244691
05,Martin,Gamble,EDN-BLN-0,standard,false,10.048932,0.871292,0.9307587,5.938895
06,John,Parris,EDN-RKT-0,standard,true,6.534285,5.4785995,4.441308,5.495439
07,Mark,Godliman,EDN-BLN-0,business,true,3.3236861,2.7612557,0.83901,3.5415494
08,Steve,Chandler,EDN-STI-0,business,false,29.807844,5.3172116,5.4907045,1.5187415
09,Mike,Gray,EDN-RKT-1,business,false,20.25471,5.9823174,3.533939,5.101035
10,Kiya,Gray,EDN-RKT-0,standard,true,22.229752,2.2814975,0.4424132,2.6233602
11,May,Xi,EDN-RKT-1,standard,true,18.075142,1.7247845,1.234643,4.778062
12,Nyla,Kumar,EDN-RKT-0,business,true,21.484253,4.489934,4.454844,1.0453802
13,Mark,Jones,EDN-BLN-0,standard,true,29.19699,0.7294271,3.7631125,0.7083807
14,Kiya,McGregor,EDN-STI-0,standard,false,22.318691,1.5799223,1.4175124,2.4221714
15,Kiya,Cameron,EDN-STI-0,standard,true,25.936747,1.0059686,0.8585676,1.8146149
16,Lisa,Cameron,EDN-STI-0,standard,false,19.041782,1.5110636,5.989335,2.3471007
17,Nyla,Xi,EDN-RKT-0,business,false,9.203133,4.2680645,3.3516908,5.8783407
18,Edna,Parris,EDN-RKT-0,standard,false,23.214125,1.5759022,4.6606627,4.1205444
19,Steve,Macdonald,EDN-RKT-1,standard,false,10.699131,5.7655687,3.526349,4.1814556
20,Olivia,Xi,EDN-STI-0,standard,true,15.067656,2.7334676,4.9096904,5.0852785
21,Hannah,Barlow,EDN-BLN-0,standard,true,26.656227,2.7195776,5.2095046,2.3822808
22,Reis,Wise,EDN-BLN-0,standard,false,29.275574,4.082861,2.706384,4.4889383
23,Nyla,Xi,EDN-STI-0,standard,false,19.798687,2.5732706,2.5295024,3.2785542
24,Lisa,Kumar,EDN-BLN-0,standard,true,24.941397,3.4504888,1.3990996,3.5274725
25,Kiya,Brown,EDN-BLN-0,standard,false,26.487259,4.353617,2.3746884,5.865063
26,Olivia,Kumar,EDN-STI-0,standard,false,7.052493,2.7515523,0.7032727,1.0894278
27,Lisa,Barlow,EDN-STI-0,standard,true,25.266125,0.031269908,4.84294,4.350622
28,May,Parris,EDN-BLN-0,standard,true,17.959583,0.6739615,4.1194983,3.0832367
29,Olivia,Parris,EDN-BLN-0,standard,true,12.37906,3.6475801,5.341543,0.38356805
30,Steve,Mac,EDN-STI-0,business,false,10.854339,3.0846524,2.8801968,4.2740664
31,Mark,Kumar,EDN-RKT-1,standard,false,21.36933,1.7718154,3.3880591,3.066844
32,Martin,Wise,EDN-RKT-1,standard,true,0.7196742,4.731729,1.4188557,4.812443
33,Hannah,Brown,EDN-RKT-0,standard,true,18.365318,4.525035,2.957199,0.9367461
34,Irene,Barlow,EDN-RKT-1,standard,true,27.164022,3.7621443,4.5512967,4.4768867
35,David,Wise,EDN-STI-0,standard,true,18.906237,1.7703037,3.7659593,3.040967
36,Reis,Godliman,EDN-STI-0,standard,true,18.106863,0.33865213,0.9510169,0.79397357
37,Jenny,Barnes,EDN-RKT-1,standard,true,16.599728,2.2762449,0.007604599,1.7827903
38,Kiya,Barlow,EDN-STI-0,standard,false,15.987762,0.36022174,5.2056346,2.202066
39,Jack,Parris,EDN-RKT-0,standard,false,10.03906,4.710433,3.52176,5.094167
